STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       1270;19510101;-999;-999;-999;    5;   0.0;   1;    0.000;  24;   6.4;   5.5;  967.50;    0.5;   88.00;    2.1;  -16.1;  -18.2;eor
       1270;19510102;-999;-999;-999;    5;   0.0;   1;    1.300;  18;   6.6;   5.1;  962.60;    1.1;   76.00;    3.6;   -2.7;   -4.3;eor
       1270;19510103;-999;-999;-999;    5;   0.0;   0;    0.000;  18;   8.0;   5.3;  974.00;    0.9;   81.00;    2.0;   -1.5;   -3.0;eor
       1270;19510104;-999;-999;-999;    5;   0.0;   1;    4.300;  18;   5.8;   5.1;  986.00;    1.5;   73.00;    2.0;   -0.6;   -1.9;eor
       1270;19510105;-999;-999;-999;    5;   0.6;   1;    0.600;  16;   5.8;   6.7;  982.30;    4.0;   84.00;    5.4;    0.8;   -0.6;eor
       1270;19510106;-999;-999;-999;    5;   0.0;   0;    1.100;   0;   5.4;   6.7;  980.30;    5.6;   73.00;    7.6;    4.2;    2.2;eor
       1270;19510107;-999;-999;-999;    5;   0.1;   1;    1.300;   0;   7.0;   6.0;  976.20;    5.0;   69.00;    6.6;    3.8;   -0.6;eor
       1270;19510108;-999;-999;-999;    5;   0.0;   0;    1.100;   0;   5.0;   6.7;  982.80;    3.6;   82.00;    6.2;    2.5;    2.1;eor
       1270;19510109;-999;-999;-999;    5;   0.0;   1;    1.100;   0;   4.2;   6.1;  980.70;    3.6;   76.00;    5.6;    2.3;   -0.1;eor
       1270;19510110;-999;-999;-999;    5;   0.0;   0;    6.600;   0;   0.6;   4.9;  985.80;    2.9;   67.00;    6.4;   -0.6;   -2.4;eor
       1270;19510111;-999;-999;-999;    5;   0.0;   0;    0.000;   0;   5.6;   6.5;  972.60;    6.0;   70.00;    8.0;    1.5;   -1.2;eor
       1270;19510112;-999;-999;-999;    5;   0.0;   0;    0.600;   0;   6.2;   7.1;  967.80;    5.4;   76.00;    8.2;    3.7;    2.0;eor
       1270;19510113;-999;-999;-999;    5;   0.0;   0;    1.200;   0;   7.2;   6.1;  969.50;    3.7;   77.00;    6.0;    1.6;   -0.4;eor
       1270;19510114;-999;-999;-999;    5;   0.0;   0;    3.500;   0;   7.4;   6.4;  978.00;    4.6;   77.00;    5.8;    1.3;   -0.9;eor
       1270;19510115;-999;-999;-999;    5;   4.4;   7;    0.000;   0;   7.8;   6.4;  973.60;    2.7;   86.00;    5.7;    1.1;    3.2;eor
       1270;19510116;-999;-999;-999;    5;   0.4;   1;    2.200;   0;   7.0;   6.1;  993.10;    2.2;   85.00;    4.3;    0.6;   -0.6;eor
       1270;19510117;-999;-999;-999;    5;   1.7;   7;    0.100;   0;   6.4;   6.0;  986.70;    2.8;   84.00;    4.1;    0.5;   -0.9;eor
       1270;19510118;-999;-999;-999;    5;   3.6;   1;    1.400;   0;   7.4;   7.1;  967.90;    4.7;   82.00;    7.3;    3.2;    1.1;eor
       1270;19510119;-999;-999;-999;    5;   4.6;   7;    1.400;   0;   7.8;   6.5;  976.80;    3.2;   86.00;    4.7;    1.4;    1.1;eor
       1270;19510120;-999;-999;-999;    5;   0.1;   1;    2.200;   0;   7.2;   5.9;  976.60;    2.9;   78.00;    4.6;    1.4;    1.3;eor
       1270;19510121;-999;-999;-999;    5;   0.0;   1;    6.000;   0;   3.2;   4.3;  990.20;    0.0;   68.00;    3.2;   -2.2;   -0.3;eor
       1270;19510122;-999;-999;-999;    5;   1.8;   1;    0.000;   0;   8.0;   5.6;  989.40;    1.2;   84.00;    3.0;   -4.1;   -6.5;eor
       1270;19510123;-999;-999;-999;    5;   0.7;   1;    0.000;   0;   8.0;   6.9;  988.00;    2.1;   97.00;    3.0;    0.7;    0.6;eor
       1270;19510124;-999;-999;-999;    5;   0.0;   0;    0.000;   0;   8.0;   6.4;  991.10;    1.0;   97.00;    2.5;    0.2;    0.1;eor
       1270;19510125;-999;-999;-999;    5;   0.0;   0;    0.000;   0;   8.0;   5.2;  983.40;   -1.3;   94.00;    1.3;   -2.1;   -1.0;eor
       1270;19510126;-999;-999;-999;    5;   0.1;   7;    0.000;   0;   8.0;   5.5;  978.60;   -1.0;   96.00;   -0.2;   -2.5;   -2.5;eor
       1270;19510127;-999;-999;-999;    5;   0.1;   7;    0.000;   0;   8.0;   5.9;  974.00;   -0.2;   99.00;    0.2;   -1.6;   -1.8;eor
       1270;19510128;-999;-999;-999;    5;   0.0;   8;    0.000;   0;   8.0;   6.0;  974.00;   -0.2;   99.00;    0.8;   -1.0;   -0.8;eor
       1270;19510129;-999;-999;-999;    5;   2.5;   7;    0.000;   0;   8.0;   5.6;  984.60;   -1.1;   99.00;   -0.4;   -1.9;   -1.9;eor
       1270;19510130;-999;-999;-999;    5;   0.0;   0;    0.000;   1;   8.0;   5.5;  986.70;   -1.6;  100.00;   -0.5;   -2.6;   -1.4;eor
       1270;19510131;-999;-999;-999;    5;   0.6;   7;    0.000;   1;   8.0;   5.1;  984.60;   -2.3;   96.00;   -1.3;   -3.1;   -3.0;eor
       1270;19510201;-999;-999;-999;    5;   0.9;   7;    0.000;   1;   8.0;   5.6;  991.00;   -0.6;   96.00;    1.0;   -3.0;   -3.0;eor
       1270;19510202;-999;-999;-999;    5;   0.9;   7;    0.000;   1;   8.0;   5.2;  990.40;   -1.9;   93.00;    0.2;   -3.6;   -1.5;eor
       1270;19510203;-999;-999;-999;    5;   0.0;   0;    2.700;   1;   4.8;   3.7;  979.10;   -5.6;   89.00;   -2.3;   -7.1;   -6.0;eor
       1270;19510204;-999;-999;-999;    5;   0.1;   7;    4.000;   1;   3.4;   4.8;  964.30;    0.5;   77.00;    4.4;  -10.6;  -12.2;eor
       1270;19510205;-999;-999;-999;    5;   2.4;   7;    0.300;   0;   7.4;   5.3;  958.00;    1.6;   77.00;    3.4;    0.0;   -1.0;eor
       1270;19510206;-999;-999;-999;    5;   0.0;   0;    1.600;   0;   7.8;   6.4;  968.40;    3.7;   80.00;    6.0;    0.4;   -1.4;eor
       1270;19510207;-999;-999;-999;    5;   0.0;   0;    1.100;   0;   7.0;   6.4;  977.40;    3.5;   80.00;    6.9;    1.9;   -0.4;eor
       1270;19510208;-999;-999;-999;    5;   0.0;   0;    3.900;   0;   3.8;   5.7;  977.50;    4.0;   71.00;    7.4;    0.4;   -1.6;eor
       1270;19510209;-999;-999;-999;    5;   0.0;   0;    1.700;   0;   4.8;   7.1;  978.00;    7.2;   68.00;   11.8;    4.4;    1.7;eor
       1270;19510210;-999;-999;-999;    5;   0.0;   0;    4.400;   0;   3.4;   6.8;  980.30;    3.6;   84.00;    8.4;    0.5;    0.1;eor
       1270;19510211;-999;-999;-999;    5;   0.2;   1;    1.500;   0;   7.8;   7.1;  981.00;    3.5;   91.00;    6.7;    0.5;   -1.8;eor
       1270;19510212;-999;-999;-999;    5;   0.1;   1;    4.400;   0;   4.8;   6.9;  982.70;    4.2;   83.00;    8.6;    1.9;    0.6;eor
       1270;19510213;-999;-999;-999;    5;   9.4;   7;    0.000;   0;   8.0;   6.3;  977.20;    0.3;  100.00;    4.2;   -1.6;   -2.1;eor
       1270;19510214;-999;-999;-999;    5;   1.5;   7;    0.000;   2;   8.0;   6.7;  976.20;    2.0;   92.00;    3.2;   -0.1;   -0.4;eor
       1270;19510215;-999;-999;-999;    5;  11.8;   7;    2.800;   0;   5.6;   6.5;  982.80;    4.0;   81.00;    7.0;    1.1;   -0.1;eor
       1270;19510216;-999;-999;-999;    5;   0.0;   0;    3.900;   1;   3.0;   5.9;  985.80;    1.8;   83.00;    5.0;    0.4;   -0.2;eor
       1270;19510217;-999;-999;-999;    5;   1.3;   1;    3.300;   0;   6.6;   6.7;  977.00;    4.9;   78.00;    6.8;   -0.1;   -1.9;eor
       1270;19510218;-999;-999;-999;    5;   0.0;   0;    7.600;   0;   4.8;   4.9;  976.40;    3.4;   63.00;    6.6;    1.6;    0.0;eor
       1270;19510219;-999;-999;-999;    5;   1.2;   1;    0.800;   0;   7.4;   5.6;  970.20;    3.0;   74.00;    6.0;    0.3;   -1.6;eor
       1270;19510220;-999;-999;-999;    5;   0.0;   1;    5.300;   0;   6.2;   6.1;  972.00;    4.6;   73.00;    6.7;    1.7;   -0.3;eor
       1270;19510221;-999;-999;-999;    5;   0.2;   1;    2.600;   0;   4.2;   6.4;  961.50;    4.0;   75.00;    7.6;    1.8;    2.1;eor
       1270;19510222;-999;-999;-999;    5;   0.0;   1;    4.200;   0;   5.8;   5.3;  971.40;    2.8;   72.00;    6.7;    0.5;   -2.5;eor
       1270;19510223;-999;-999;-999;    5;   0.1;   7;    3.600;   0;   7.0;   5.5;  978.40;    2.6;   73.00;    6.0;    0.5;   -0.9;eor
       1270;19510224;-999;-999;-999;    5;   0.0;   0;    7.900;   0;   3.2;   5.3;  979.50;    2.4;   72.00;    7.0;    0.1;   -2.0;eor
       1270;19510225;-999;-999;-999;    5;   0.0;   1;    0.000;   0;   8.0;   5.7;  978.60;    0.8;   88.00;    4.0;   -2.3;   -4.1;eor
